video_str,play_id,title,ExitVelocity,HitDistance,LaunchAngle,video
"A baseball player pitches to another player up to bat. The player up to bat hits the ball with the bat, and it flies high over the heads of the cheering crowd. A fan catches the home run ball, completing the game. The player at bat then rejoices in his home run and the win.",f2b1e4bd-d151-432e-bf88-f55ba2ae0e7b,Miguel Montero homers (7) on a fly ball to left field.,97.9,364.0,35.0,https://sporty-clips.mlb.com/N1JEamJfWGw0TUFRPT1fVUFNRFZRRUFCRllBWEZNSFZ3QUFBZ1FEQUFOVFcxa0FWRkFBVWxJSFVGWlZWUVVF.mp4
A baseball batter takes a swing at a pitch and hits a deep fly ball into left center field. The center fielder chases after the ball as it flies over the fence. The batter runs around the bases and scores a home run. This is the batter's ninth home run of the season.,22eb22db-c248-47ea-ad51-c74b9979504d,Trea Turner homers (9) on a fly ball to center field.   Stephen Drew scores.,104.3,408.0,29.0,https://sporty-clips.mlb.com/QWFLTktfWGw0TUFRPT1fQkFNRUJsWUdBbEFBVzFBR1hnQUFCbE1IQUFCUlZsQUFVVklCVWdvTUJncFFBQVlD.mp4
"A baseball player hits a long fly ball to deep right center field. The ball soars through the air toward the stands, where fans reach out in an attempt to catch it. One lucky fan successfully grabs the ball. He raises his hands in celebration as the crowd around him cheers.",cb927c32-69a4-44ad-903b-5a56f0a9cc40,Carlos Santana homers (32) on a fly ball to right center field.,100.6,397.0,29.0,https://sporty-clips.mlb.com/NTJvRGVfWGw0TUFRPT1fVlZOWVZsTlhWUUFBRGx0VFVnQUFCVmNDQUZnRlVBTUFCd1FBQmxVRlVBb0dVd1pX.mp4
A baseball player hits the ball high into the air towards the left field stands. A fan in the stands catches the ball. The batter rounds the bases and heads for home plate. This solo home run gives the Miami Marlins a 1–0 lead.,f43fbef6-eb74-4a51-9ae0-79a17b8ebb94,Giancarlo Stanton homers (27) on a fly ball to right field.,100.2,374.0,31.0,https://sporty-clips.mlb.com/ZzgybzNfWGw0TUFRPT1fVUFWU0FnWlJBQVFBWFFBRlVnQUFVQU5YQUZoVUJsRUFCVnhVQVFSWENWWUhVZ3RT.mp4
"A batter hits the ball. A center fielder runs after the ball. The ball goes over the wall and out of the stadium. The batter runs the bases, and the crowd cheers.",541e4816-63e2-4a60-a93a-e9723a543758,Byron Buxton homers (8) on a fly ball to right center field.,104.4,418.0,28.0,https://sporty-clips.mlb.com/WDJ4NWtfWGw0TUFRPT1fQXdWUUFWQU1Wd1FBRGxGWFZBQUFVQUJXQUFBTVVBQUFWMXdDQWdCVUJBZFdCd2Rl.mp4
Melky Cabrera comes out to bat for the Chicago White Sox in the ninth inning. Cabrera hits the baseball deep into right center field and it’s a home run. The White Sox now lead the Kansas City Royals 7–4. This is Cabrera's 11th home run of the season.,b3a02f93-6631-458a-81eb-262c86d53ef6,Melky Cabrera homers (11) on a fly ball to right center field.,100.6,420.0,31.0,https://sporty-clips.mlb.com/Vk1lYWFfWGw0TUFRPT1fVkFJQVZGWlNYd0VBRGxRQlZ3QUFCQTRIQUZrRUJnTUFBRk1IVXdzRFZRWldWVlJR.mp4
"The Cincinnati Reds' number 43, Scott Schebler, hits a home run to the upper-right section of the stands at the Great American Ball Park. Schebler's moonshot homer occurs during a Reds/Pittsburgh Pirates game. The Cincinnati Reds are down 6 to 0 when Scott Schebler hits his home run. A fan catches the ball about ten rows from the top of the bleachers.",d7fa9189-f6a7-4bc7-a412-a68b1ccf488b,Scott Schebler homers (8) on a fly ball to right field.,107.2,433.0,28.0,https://sporty-clips.mlb.com/T2x6blJfWGw0TUFRPT1fVWdZSEJWMEZYZ3NBWGxSVFVRQUFVMVZSQUFBQlVsTUFVMU1OVWdKV1VsVlJDQW9F.mp4
"Certainly! Here’s a short summary of the video clip:

Curtis Granderson of the New York Mets hits a home run to left field against the Minnesota Twins to tie the game at 2 runs each. The ball leaves the park over the ""Who But W.B. Mason"" sign near the 370-foot marker. Granderson rounds the bases and is greeted with high-fives from his teammates in the dugout. This home run was Granderson's 27th of the season.
",20d2f2d7-b9d8-4764-8316-d749ddd47fb3,Curtis Granderson homers (27) on a line drive to left center field.,99.5,372.0,25.0,https://sporty-clips.mlb.com/ajlhWFpfWGw0TUFRPT1fQkFFRlZnSUdBZ1VBV2x0V1hnQUFCZ0JTQUZrR1VsY0FWbElCQ1ZkUlZRZFNWbEJW.mp4
"The pitcher throws the first pitch, and the batter swings. The batter hits a fly ball to left field. The left fielder runs toward the wall, but the ball clears the wall for a home run. The Los Angeles Angels are now ahead of the Texas Rangers, 6–0.",c36757e3-73cb-4159-bbee-e1c1deab5e37,Nomar Mazara homers (19) on a fly ball to left center field.,102.7,396.0,27.0,https://sporty-clips.mlb.com/TTc5ZFlfWGw0TUFRPT1fVlFKWFUxRURBd0VBRDFGUkJBQUFBQU5mQUFOWEJnUUFWMVJXQVZkUVVGRlFWUUZS.mp4
Jean Segura hits another towering fly ball to left field.  He leads off the ball game with a home run for a second straight night.  This is Segura's 15th home run of the season.  The scoreboard at Chase Field lights up to highlight Segura's statistics.,73125a82-6f64-4afb-ad47-b26c39dde938,Jean Segura homers (15) on a fly ball to left center field.,102.3,421.0,32.0,https://sporty-clips.mlb.com/UTJRZzFfWGw0TUFRPT1fQVFKUVZsRlZYZ0FBRGdRRVVnQUFVRkFFQUFCUlYxWUFVRmNEVXdBTVZWY0FDUUZl.mp4
"Sure, here is a description of the video:

Charlie Blackmon hits a leadoff home run for the Colorado Rockies against the Arizona Diamondbacks. This is his ninth leadoff home run of the year and the 27th of his career. The pitcher for Arizona, De La Rosa, throws an 82-mile-per-hour slider that Blackmon sends over the left field fence. Blackmon rounds the bases and touches home plate as the Rockies take a 1-0 lead.

",8cec6bb4-021c-4057-b38f-0e805da50a67,Charlie Blackmon homers (27) on a line drive to right field.,110.8,397.0,25.0,https://sporty-clips.mlb.com/UTJRZzFfWGw0TUFRPT1fRGxJRUIxSldCQVlBQ0ZBREJRQUFBUU5SQUFNR1d3Y0FBZ0FOQUFaUlVBWlZVUVJS.mp4
"The Oakland A’s player hits the ball high and deep into left field. It is a three-run homerun, putting the A's further ahead. This is the team’s third three-run homerun of the series against the Kansas City Royals. This homerun is the player’s 25th of the season.",e2e5ff02-1c2e-450a-af42-9fd4fe97753b,Marcus Semien homers (25) on a fly ball to left field.   Max Muncy scores.    Yonder Alonso scores.,99.4,360.0,43.0,https://sporty-clips.mlb.com/ekxxZ3ZfWGw0TUFRPT1fVXdNRVVRSlNWZ0FBQ1FFQUF3QUFCQVlIQUFCVFYxTUFDd05SQkZWUUNBUlNCUUVF.mp4
"Kyle Jensen hits a solo home run off of Rich Hill, giving the Arizona Diamondbacks a 1–0 lead. Jensen bats for the Arizona Diamondbacks and is wearing a white uniform with purple accents. Rich Hill pitches for the Los Angeles Dodgers and is wearing a gray uniform. The game is being played at Chase Field, home of the Arizona Diamondbacks.",b1f3a424-347a-4d7f-b5a3-7e065e0c8e63,Kyle Jensen homers (2) on a fly ball to center field.,107.0,435.0,30.0,https://sporty-clips.mlb.com/NjlsQk5fWGw0TUFRPT1fVkFBSFZ3VUFWQVlBQzFZRkJ3QUFWUUVBQUFNQUFsSUFCUUFGQmdaUUFWQmRWUVJW.mp4
"The Pirates batter hits a baseball into left field. The outfielder runs toward the wall to catch the ball. The ball goes over the fence, and a fan in the stands catches it. The batter rounds the bases and scores a home run.",06acc131-9ce1-4299-820e-a8c5edebe68a,Sean Rodriguez homers (15) on a line drive to right center field.    Francisco Cervelli scores.,107.4,404.0,20.0,https://sporty-clips.mlb.com/Mk9vanhfWGw0TUFRPT1fQmdjQUJ3Y0ZWUU1BQVFGWFZ3QUFBdzlmQUZrSFV3UUFVMTFXQlZaUlZGRUFCZ29I.mp4
"Sure, here is the requested summary:

Matt Adams of the St. Louis Cardinals hit a home run against the Colorado Rockies' pitcher Jorge De La Rosa. This home run was expected because De La Rosa allowed lefties to hit .300 against him.  Matt Adams also hits .030 higher against left-handed pitchers.  Adams rounded the bases to tie the game 1-1 in the top of the second inning.

Hope this helps!",7e7c9cee-3cc5-4b31-a419-fe8ef806ef1d,Matt Adams homers (15) on a line drive to right field.,100.0,436.0,29.0,https://sporty-clips.mlb.com/cjhCYmtfWGw0TUFRPT1fQVZSV0IxMVhBMWNBQ3dGUlV3QUFVd1ZYQUFBQlVsZ0FWQUFOVlZVTkFRVUFWZ01D.mp4
"Here's a summary of the video:
Evan Gattis hits his 30th home run of the season in a game against the Oakland A's. He hits a 90mph fastball to center field, which lands over the wall. The Astros celebrate in the dugout as Gattis runs around the bases. His home run extends the Astros' lead.",3852c8ed-558f-4ef6-ab1f-2677c002a02d,Evan Gattis homers (30) on a fly ball to center field.,110.6,439.0,22.0,https://sporty-clips.mlb.com/azkyd3ZfWGw0TUFRPT1fQlFsVVZnY01BMVlBRFZjS0FBQUFWRkJRQUFCWFVnY0FBRk1DQjFBRkFRRUVBQUFD.mp4
Chris Carter of the Milwaukee Brewers hits a home run in right center field against the Pittsburgh Pirates. The ball is caught by a spectator in a box behind an advertisement for Toyota. The Brewers now have a 3-1 lead against the Pirates. It is Carter’s 37th home run of the season.,f2a9a0c3-70f4-4f59-ab6b-d4cd185fd8a9,Chris Carter homers (37) on a fly ball to right center field.,106.4,398.0,34.0,https://sporty-clips.mlb.com/OTlxUmJfWGw0TUFRPT1fVUFNQVhRVUVCUUVBRDFKVVVnQUFWd05mQUFCWFZRTUFWbEZXVkFJTkJGVUJDRk5m.mp4
"A baseball batter, Andrelton Simmons, hits a pitch from J.A. Happ in the bottom of the first inning. The hit travels to left field, where it carries over the wall and into the stands. Simmons completes his run around the bases, his fourth home run of the season, which was his first since a game on Sunday. The Angels score 2 runs on the hit, putting the score at 5-2 Toronto.",dafca98e-72ca-4178-a59e-afac4d2799f5,Andrelton Simmons homers (4) on a fly ball to left field.   Jefry Marte scores.,100.7,390.0,24.0,https://sporty-clips.mlb.com/WjQzUWdfWGw0TUFRPT1fVWxBSEJ3VU5YbGNBRDFCUkJ3QUFBQUZlQUFBQVdnUUFVd05VVXdkUkF3UmNDVlJU.mp4
"Joey Wendle hit a home run for his team, the Athletics.  The pitch was thrown by Yu Darvish.  The home run happened in the first inning of the game against the Texas Rangers.  The score was tied after Wendle’s home run.",afea3846-fc5d-469d-a0c0-281a869d4eec,Joey Wendle homers (1) on a line drive to right field.,99.8,395.0,29.0,https://sporty-clips.mlb.com/bGUyNEdfWGw0TUFRPT1fVjFjRUJWY01VZ1FBWGdFSEFnQUFCdzhDQUFBRkFGRUFBRjBFVVFzRENGZFJWVmNG.mp4
"A baseball player hits a high fly ball to right field. The right fielder retreats to the wall but is unable to make the catch. The ball clears the fence for a home run. This is the batter’s 1,000th career hit.",97ad37e4-7893-4f7d-84f6-26b674b3ea03,Kendrys Morales homers (28) on a fly ball to right center field.    Paulo Orlando scores.,102.9,416.0,33.0,https://sporty-clips.mlb.com/Qm85NFZfWGw0TUFRPT1fRHdZQUFGY0RBd1lBRDFvTFZRQUFWd0VDQUZrQkJWY0FBRk5YQmdRQlV3QUFVUUpW.mp4
"A baseball player hits a ball and it flies into the stands. People in the audience try to catch it, and one person successfully makes the catch. The player who hit the ball rounds the bases and scores a home run. It is his 38th home run of the season.",f4431b37-75e1-485d-b90b-6452bf6b3fd6,Todd Frazier homers (38) on a line drive to left center field.,102.7,398.0,23.0,https://sporty-clips.mlb.com/b1oxNGdfWGw0TUFRPT1fVUFWVlYxVldWUVVBRDFkWFZ3QUFDUU1DQUFNTVV3TUFCRkVBQWxGVEIxRldWbFpR.mp4
"A baseball pitcher throws a breaking ball, which is hit deep down the line by the batter Trea Turner.  The ball flies over the fence and into the stands, landing Turner a home run.  Turner runs around the bases to return to his team’s dugout.  The score updates to reflect Turner’s successful home run.",25616738-a0f7-4fe5-a436-e7657c221293,Trea Turner homers (12) on a fly ball to left field.,102.3,406.0,27.0,https://sporty-clips.mlb.com/MzR3Wk5fWGw0TUFRPT1fQkFSWFZWSURWUW9BV1ZKVVVRQUFWMU5UQUFBQlVGY0FWMUlEQlFSV0F3RlVBZ3RW.mp4
"A baseball player swings at a pitch and hits a fly ball into right center field. The right fielder runs toward the ball, but it clears the wall and the home run is celebrated by the player, the fans, and the team. This is Nomar Mazara’s 20th home run of the season.

",f420f8dd-032a-4809-be6e-19e901dc569c,Nomar Mazara homers (20) on a fly ball to center field.   Jonathan Lucroy scores.,106.8,438.0,30.0,https://sporty-clips.mlb.com/ZThRZ0dfWGw0TUFRPT1fVUFWVFZBSU1BbFlBQ0ZFQUJ3QUFDUVpmQUFOUVZRUUFBMXhRQ1FNRVZWQlFCZ3NG.mp4
"René Rivera is at bat, with an 0–1 count, for the Mets in the 5th inning against the Atlanta Braves. He hits a fly ball deep into left center field. Inciarte is running after the ball near the wall, but it flies just over him and into the stands. Rivera’s home run becomes the Mets’ third run of the game.",d982fe15-b9cf-4554-a494-569d52e79ff8,Rene Rivera homers (6) on a fly ball to left center field.,101.6,402.0,29.0,https://sporty-clips.mlb.com/MFdvOTdfWGw0TUFRPT1fVWdoWlZnSlJWd2NBV2x0UkFBQUFCQU5TQUFBQldsVUFCMU1NVkFZSFZBUmNWbFJl.mp4
A baseball batter hits a pitch thrown by the pitcher. The baseball is hit high into left center field. A player wearing an orange shirt and a white glove makes an attempt to catch the ball. The baseball ends up in the bullpen area and is ruled a home run.,41279cba-dd15-470a-b67f-bbbfa87c14d5,Paul Goldschmidt homers (23) on a fly ball to center field.   Chris Owings scores.,107.9,426.0,35.0,https://sporty-clips.mlb.com/QWFLM2dfWGw0TUFRPT1fQWdCVFUxMVhCRk1BWEFZRFV3QUFCZ1lIQUFNRFZBY0FVQWRYVmxJTkJsQlVCRlpU.mp4
"Kurt Suzuki of the Minnesota Twins hits a home run in the fourth inning against the Detroit Tigers. Fans scramble to catch the ball as it leaves the field. The home run was a three-run shot, his eighth of the season. This gave the Twins a 5–2 lead.

",7a5f2c0b-bb08-403b-8e88-9f25b2639e5d,Kurt Suzuki homers (8) on a fly ball to left field.   Max Kepler scores.    Kennys Vargas scores.,102.8,367.0,28.0,https://sporty-clips.mlb.com/dlA0TDNfWGw0TUFRPT1fQVZCVUFsWlhWbEFBV2dBQ1hnQUFBUVVFQUZsUVcxa0FDd01IQlZFSEJ3QmNWUWND.mp4
Jean Segura hits a home run in a baseball game between the Arizona Diamondbacks and the Colorado Rockies. It's Segura's second home run of the game and 16th of the season. This is also his third multi-home run game of the season. The fans in attendance at Chase Field cheer and celebrate.,5a406c55-2fda-487e-96ae-bb01b78a074f,Jean Segura homers (16) on a line drive to left field.   Braden Shipley scores.,108.5,389.0,22.0,https://sporty-clips.mlb.com/UTJRZzFfWGw0TUFRPT1fQTFCVlZGSlhVd2NBQ2dSV0J3QUFDUUVEQUZnREFnUUFVQWNGQVZFQ0NWSlZCd1lB.mp4
"Sure thing, here's a 4-sentence summary of the video:

A Cincinnati Reds batter hits the ball deep into the outfield. The outfielder watches it go over the wall, and it is signaled a home run. The batter rounds the bases, and the scoreboard shows the Reds go up 7-3. The batter exchanges high fives with teammates as he returns to the dugout.",0c53ab1d-2dcb-4359-9a92-8089c1258ac1,"Umpire reviewed (home run), call on the field was upheld: Joey Votto homers (25) on a line drive to left center field.",98.8,359.0,24.0,https://sporty-clips.mlb.com/MXFvMHJfWGw0TUFRPT1fQmxKVVZ3VldWMVlBQ2daUkJBQUFBZ05mQUZoVVdsTUFDbFVOQ1ZBRUF3WmRVVkZY.mp4
"A batter hits a fly ball into right field, with Steven Piscotty backing up near the wall. Piscotty attempts to catch the ball, but it goes over the fence. A home run is signaled, and the batter rounds the bases. The scoreboard shows a score of 5-3.",d781cc88-48b4-477e-ac31-c1b564a4c641,Ryan Raburn homers (9) on a fly ball to right field.,95.6,383.0,38.0,https://sporty-clips.mlb.com/YjlLZTlfWGw0TUFRPT1fVWdaWlZRZFhYZ29BREZwUVVnQUFCZ0VEQUFCV1VGQUFVVlJYQlFVQlVBY0dCZ1pY.mp4
"The pitcher, Santiago, throws a fastball towards the batter, McCann. The batter hits the baseball, and it lands above the bullpen for a home run. It was McCann's 12th home run of the season, making the score six to zero. The Tigers' manager looks dejected.",7d67f570-a6fa-4157-ac87-3780a835bc58,James McCann homers (12) on a fly ball to left center field.   J.D. Martinez scores.    Justin Upton scores.,105.1,439.0,31.0,https://sporty-clips.mlb.com/eU45eGVfWGw0TUFRPT1fQVZWWFV3SUJVUUlBV1ZSVUJ3QUFBQU5SQUFCV1cxWUFBVklOQUZJTkFnWUhVd2Rl.mp4
"Daniel Descalso of the Colorado Rockies hits a home run against the St. Louis Cardinals. The hit goes over the wall in deep center field. It is Descalso’s eighth home run of the year. The Rockies crowd erupts in cheers after Descalso hits the home run.

",6ee9178c-2da5-4871-afbe-ab0641dc7f3d,Daniel Descalso homers (8) on a line drive to right center field.,104.0,421.0,21.0,https://sporty-clips.mlb.com/cjhCYmtfWGw0TUFRPT1fQUZRRVhWVURYbEVBQ2daVFV3QUFDUUZYQUFCVEFRUUFVd2NGQmdjRVZWQlNWZ0VD.mp4
"The batter hits a deep fly ball to left field.
The left fielder runs to the wall but the ball flies over.
The batter rounds the bases and scores a two-run home run.
The Houston Astros extend their lead over the Oakland A's to 4-1.",276e825a-e224-4c18-a1dc-5237a1d6692d,Evan Gattis homers (29) on a fly ball to left field.   Carlos Correa scores.,96.8,373.0,26.0,https://sporty-clips.mlb.com/azkyd3ZfWGw0TUFRPT1fQkFaWEFWd0dVMU1BWFZBQVVnQUFVZ2RlQUFBRUJ3SUFCMWNHQjFJRVZRVlRDUUFD.mp4
A baseball player hits a pitch deep into right field. The right fielder looks up to track the ball. The ball goes over the fence for a home run. The batter rounds the bases after hitting the two-run homer.,cfeb1d8f-6ae5-4f02-b8e7-76b11f6fdeac,Asdrubal Cabrera homers (21) on a fly ball to right field.    Jose Reyes scores.,101.6,388.0,31.0,https://sporty-clips.mlb.com/MFdvOTdfWGw0TUFRPT1fVlZjRUJsVlFYbFFBRGdOWFV3QUFWd1pVQUFNTkJsWUFCVk5YQVFKVEIxVUJWVk1G.mp4
"The baseball pitcher throws the ball, and the batter hits it toward center field. A center fielder runs toward the wall, jumps, and catches the ball. The Dodgers first base coach reacts with excitement as the ball is caught.",e5171bda-9912-43b6-9380-f45d644366d0,Yasmani Grandal hits a grand slam (27) to center field.   Yasiel Puig scores.    Corey Seager scores.    Adrian Gonzalez scores.,105.2,408.0,32.0,https://sporty-clips.mlb.com/NTJvbkdfWGw0TUFRPT1fVXdSUVUxVldBbE1BQVZzRFZBQUFBbFJRQUZnR1cxRUFWRkVBVkFVQkJRQlRCbFpX.mp4
"Sure, here's your summary. 
In a nail-biting game between the Yankees and the Red Sox, Hanley Ramirez steps up to bat with two outs in the ninth inning. The 99-mph pitch is launched high into center field, and Jacoby Ellsbury can’t quite make the catch. Ramirez rounds third base, heads for home, and the Red Sox win in a walk-off play, sending the Yankees home defeated.

Hope that helps!",640debcb-94cc-481d-96ea-f4a1518794bc,Hanley Ramirez homers (25) on a fly ball to center field.   Marco Hernandez scores.    Mookie Betts scores.,106.8,426.0,28.0,https://sporty-clips.mlb.com/TTc5TDVfWGw0TUFRPT1fQUFWUkFBRldCVkFBQVZaUkJRQUFDUWNDQUZnREJnQUFWRkZVQVFZRUNRUmNCRkFG.mp4
"The baseball pitcher, Lackey, throws the ball to the batter, Garcia. Garcia hits a fly ball out into left field. A fan catches the ball, earning his team a home run. The scoreboard reads 0 to 0.",d529c80a-245d-490c-906b-15a23da910d1,Orlando Arcia homers (4) on a fly ball to left center field.,102.9,437.0,28.0,https://sporty-clips.mlb.com/N1JEamJfWGw0TUFRPT1fVWdSVFhRY01WbE1BQ2xZSEFnQUFDQVlGQUZnRlZRTUFBMUJVQWdCUlVBcFVBRlpY.mp4
"A baseball player pitches the ball to a batter at home plate. The batter hits the ball, sending it soaring high into the air. The ball flies over the outfield wall, resulting in a home run. The batter rounds the bases to home plate.

",554bcd44-60f1-4b0d-a2a0-2e4ed548089b,Jose Abreu homers (25) on a fly ball to center field.,106.8,451.0,28.0,https://sporty-clips.mlb.com/cjhCZUtfWGw0TUFRPT1fQXdSVkJnZFFVZ1lBRGxKVVZ3QUFVd1lDQUFBSEFsRUFBQUFCVlZjQUJRdFZDQXNF.mp4
A baseball player for the Baltimore Orioles hits a home run off a Boston Red Sox pitcher. This hit is the Orioles player's first career hit and the first run of the ballgame. The Orioles fans are excited and cheering in the stands. The Red Sox pitcher looks dejected as he walks off the mound.,495e6020-b01e-442f-8af6-05e0ff4fd40b,Trey Mancini homers (1) on a line drive to left center field.,111.4,434.0,23.0,https://sporty-clips.mlb.com/cTZZTTRfWGw0TUFRPT1fQWdoVUFWSUVWQUlBV2xJREF3QUFCUVFBQUZsVUJWY0FBbEJRQUZWVEJWVUJCQUlF.mp4
A baseball player hits a pitched ball. The hit ball travels through the air and over the fence.  The batter runs around the bases. His team greets him with high fives and celebratory slaps on the back.,37218dac-8e7d-41ae-8988-5a803805bcc1,Brandon Belt homers (16) on a fly ball to right center field.,102.0,412.0,27.0,https://sporty-clips.mlb.com/eDlLZGtfWGw0TUFRPT1fQlFaVFZWeFFCMUVBQUFjRkFnQUFBRmNEQUZrTVcxa0FCd1FOQUFBTkFRWUhVMUZY.mp4
Masahiro Tanaka throws a pitch to Bobby Wilson. Wilson hits a high fly ball to left field. The ball carries over the wall into the stands. Wilson hits his seventh home run of the season.,dbb8a44a-67ac-4763-a05b-4865241ae3a7,Bobby Wilson homers (7) on a fly ball to left center field.,100.2,391.0,24.0,https://sporty-clips.mlb.com/bGUyM3JfWGw0TUFRPT1fVWxNRFhBVUFVbE1BRGxWVEJRQUFCZ0JWQUFBRlZnTUFCbDBEQlFFQkFGSUFBMU5S.mp4
"In the top of the seventh inning with two outs, the Milwaukee Brewers and the Chicago Cubs are tied 2-2. Scooter Gennett of the Brewers is at bat facing the pitcher for the Cubs. Gennett hits a home run into the stands, putting the Brewers ahead 3-2.

",51207120-28a2-4853-a957-d21415550924,Scooter Gennett homers (13) on a fly ball to right center field.    Andrew Susac scores.,100.4,387.0,29.0,https://sporty-clips.mlb.com/N1JEamJfWGw0TUFRPT1fQXdCVFZGTUZWQUlBQ2xwVFZBQUFDUU5WQUFBTVZsWUFWbGNFQkFJQUJBWlZDUUJT.mp4
